 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.38875 	 3.089e-04 	 9.985e-05 	 5.735e-05 
0.39125 	 3.025e-04 	 9.915e-05 	 8.413e-05 
0.39375 	 3.077e-04 	 9.621e-05 	 4.615e-05 
0.39625 	 2.842e-04 	 8.326e-05 	 5.657e-05 
0.39875 	 2.534e-04 	 7.070e-05 	 4.496e-05 
0.40125 	 2.301e-04 	 6.341e-05 	 3.687e-05 
0.40375 	 2.067e-04 	 7.517e-05 	 4.381e-05 
0.40625 	 1.979e-04 	 5.970e-05 	 3.927e-05 
0.40875 	 1.790e-04 	 5.461e-05 	 3.542e-05 
0.41125 	 1.642e-04 	 5.833e-05 	 2.846e-05 
0.41375 	 1.590e-04 	 4.581e-05 	 2.983e-05 
0.41625 	 1.407e-04 	 5.590e-05 	 3.707e-05 
0.41875 	 1.536e-04 	 4.481e-05 	 2.364e-05 
0.42125 	 1.367e-04 	 4.727e-05 	 3.056e-05 
0.42375 	 1.248e-04 	 3.787e-05 	 2.312e-05 
0.42625 	 1.021e-04 	 5.294e-05 	 2.483e-05 
0.42875 	 9.832e-05 	 3.755e-05 	 2.566e-05 
0.43125 	 1.015e-04 	 3.869e-05 	 2.680e-05 
0.43375 	 8.263e-05 	 2.978e-05 	 1.544e-05 
0.43625 	 8.672e-05 	 2.498e-05 	 1.159e-05 
0.43875 	 7.728e-05 	 2.314e-05 	 1.176e-05 
0.44125 	 7.145e-05 	 2.195e-05 	 1.568e-05 
0.44375 	 6.566e-05 	 1.940e-05 	 1.744e-05 
0.44625 	 5.482e-05 	 2.206e-05 	 1.126e-05 
0.44875 	 6.273e-05 	 1.835e-05 	 1.359e-05 
0.45125 	 5.361e-05 	 1.818e-05 	 9.238e-06 
0.45375 	 4.964e-05 	 1.928e-05 	 1.313e-05 
0.45625 	 4.721e-05 	 2.057e-05 	 2.453e-06 
0.45875 	 5.132e-05 	 1.133e-05 	 1.147e-05 
0.46125 	 3.647e-05 	 1.194e-05 	 7.605e-06 
0.46375 	 3.320e-05 	 1.279e-05 	 1.221e-05 
0.46625 	 3.836e-05 	 9.613e-06 	 4.724e-06 
0.46875 	 3.494e-05 	 7.824e-06 	 5.240e-06 
0.47125 	 3.722e-05 	 1.230e-05 	 5.929e-06 
0.47375 	 3.927e-05 	 1.480e-05 	 4.319e-06 
0.47625 	 3.343e-05 	 1.414e-05 	 4.515e-06 
0.47875 	 2.710e-05 	 7.545e-06 	 4.494e-06 
0.48125 	 2.298e-05 	 5.239e-06 	 3.318e-06 
0.48375 	 2.130e-05 	 7.493e-06 	 2.807e-06 
0.48625 	 2.127e-05 	 7.788e-06 	 1.823e-06 
0.48875 	 1.598e-05 	 4.965e-06 	 1.718e-06 
0.49125 	 1.630e-05 	 6.787e-06 	 7.368e-06 
0.49375 	 1.496e-05 	 4.075e-06 	 4.320e-06 
0.49625 	 1.254e-05 	 2.440e-06 	 6.496e-06 
0.49875 	 9.424e-06 	 5.318e-06 	 2.842e-06 
0.50125 	 1.257e-05 	 5.441e-06 	 3.096e-06 
0.50375 	 7.262e-06 	 3.471e-06 	 1.573e-06 
0.50625 	 1.031e-05 	 3.037e-06 	 5.987e-06 
0.50875 	 1.290e-05 	 2.486e-06 	 3.765e-06 
0.51125 	 8.363e-06 	 4.460e-06 	 1.853e-06 
0.51375 	 5.707e-06 	 3.692e-06 	 0.000e+00 
0.51625 	 3.705e-06 	 3.175e-06 	 0.000e+00 
0.51875 	 7.006e-06 	 3.164e-06 	 1.969e-06 
0.52125 	 6.505e-06 	 3.008e-06 	 1.464e-06 
0.52375 	 5.143e-06 	 2.055e-06 	 2.585e-06 
0.52625 	 5.233e-06 	 1.653e-06 	 2.114e-06 
0.52875 	 5.890e-06 	 2.177e-06 	 4.717e-07 
0.53125 	 3.579e-06 	 1.993e-06 	 3.294e-06 
0.53375 	 2.422e-06 	 2.285e-06 	 3.042e-06 
0.53625 	 2.920e-06 	 1.527e-06 	 5.739e-07 
0.53875 	 2.547e-06 	 4.789e-07 	 4.950e-07 
0.54125 	 4.007e-06 	 4.921e-07 	 2.234e-07 
0.54375 	 3.417e-06 	 1.036e-06 	 5.362e-07 
0.54625 	 1.633e-06 	 4.515e-06 	 1.667e-06 
0.54875 	 4.507e-06 	 4.505e-06 	 4.373e-07 
0.55125 	 1.442e-06 	 1.035e-06 	 4.086e-07 
0.55375 	 4.847e-06 	 5.753e-07 	 6.523e-07 
0.55625 	 4.731e-06 	 1.532e-06 	 1.211e-06 
0.55875 	 2.845e-06 	 1.532e-06 	 2.854e-06 
0.56125 	 1.133e-06 	 1.530e-06 	 2.465e-06 
0.56375 	 1.532e-06 	 7.853e-07 	 0.000e+00 
0.56625 	 1.175e-06 	 5.316e-07 	 0.000e+00 
0.56875 	 2.404e-06 	 6.541e-07 	 6.899e-07 
0.57125 	 1.108e-06 	 4.335e-07 	 0.000e+00 
0.57375 	 2.775e-06 	 1.845e-06 	 0.000e+00 
0.57625 	 1.810e-06 	 2.185e-06 	 3.113e-07 
0.57875 	 1.263e-06 	 8.138e-07 	 0.000e+00 
0.58125 	 1.897e-06 	 3.021e-07 	 1.054e-06 
0.58375 	 1.537e-06 	 5.221e-07 	 2.216e-07 
0.58625 	 8.043e-07 	 6.893e-08 	 0.000e+00 
0.58875 	 1.814e-07 	 3.723e-07 	 0.000e+00 
0.59125 	 7.436e-07 	 5.930e-07 	 0.000e+00 
0.59375 	 1.122e-06 	 6.234e-07 	 0.000e+00 
0.59625 	 1.167e-06 	 8.965e-08 	 0.000e+00 
0.59875 	 1.246e-06 	 4.071e-07 	 0.000e+00 
0.60125 	 7.341e-07 	 4.866e-07 	 0.000e+00 
0.60375 	 1.122e-06 	 0.000e+00 	 0.000e+00 
0.60625 	 5.396e-07 	 1.597e-07 	 0.000e+00 
0.60875 	 3.686e-07 	 2.234e-07 	 0.000e+00 
0.61125 	 3.094e-07 	 6.226e-08 	 0.000e+00 
0.61375 	 4.479e-07 	 2.134e-07 	 0.000e+00 
0.61625 	 1.434e-07 	 2.255e-07 	 0.000e+00 
0.61875 	 4.643e-08 	 0.000e+00 	 0.000e+00 
0.62125 	 2.054e-07 	 0.000e+00 	 0.000e+00 
0.62375 	 1.904e-07 	 0.000e+00 	 0.000e+00 
0.62625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.62875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.63125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.63375 	 6.242e-07 	 0.000e+00 	 0.000e+00 
0.63625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.63875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.64125 	 1.282e-07 	 0.000e+00 	 0.000e+00 
0.64375 	 3.337e-07 	 0.000e+00 	 0.000e+00 
0.64625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.64875 	 1.847e-07 	 0.000e+00 	 0.000e+00 
0.65125 	 8.270e-08 	 0.000e+00 	 0.000e+00 
0.65375 	 7.667e-08 	 0.000e+00 	 0.000e+00 
0.65625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.65875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.66125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.66375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.66625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.66875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.67125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.67375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.67625 	 1.684e-07 	 0.000e+00 	 0.000e+00 
0.67875 	 1.835e-07 	 0.000e+00 	 0.000e+00 
0.68125 	 5.759e-08 	 0.000e+00 	 0.000e+00 
0.68375 	 5.341e-08 	 0.000e+00 	 0.000e+00 
0.68625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.68875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.69125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.69375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.69625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.69875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.70125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.70375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.70625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.70875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.71125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.71375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.71625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.71875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.72125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.72375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.72625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.72875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.73125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.73375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.73625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.73875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.74125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.74375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.74625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.74875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.75125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.75375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.75625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.75875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.76125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.76375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.76625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.76875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.77125 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.77375 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.77625 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.77875 	 0.000e+00 	 0.000e+00 	 0.000e+00 
